belongs_to_collection,budget,genres,id,original_language,overview,popularity,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,vote_average,release_year,return,day_of_week
,1100000.0,"[{'id': 28, 'name': 'Action'}]",218381,en,"A major feature exclusively for digital, EXTRACTION follows a U.S. Black Ops team member who finds himself the only survivor of a botched prisoner extraction mission. Forced to fight his way out of a maximum-security Chechen prison, he must keep his target alive in order to catch a terrorist arms-dealer who is a threat to thousands of lives.",2.477723,['Sony Pictures'],['United States of America'],2013-09-05,0.0,102.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,One Is The Deadliest Number,Extraction,5.5,2013,0.0,jueves
,0.0,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",17131,en,"During the campaign for reelection, the crooked politician Paul Madvig decides to clean up his past, refusing the support of the gangster Nick Varna and associating to the respectable reformist politician Ralph Henry. When Ralph's son, Taylor Henry, a gambler and the lover of Paul's sister Opal, is murdered, Paul's right arm, Ed Beaumont, finds his body on the street. Nick uses the financial situation of The Observer to force the publisher Clyde Matthews to use the newspaper to raise the suspicion that Paul Madvig might have killed Taylor.",1.642878,['Paramount Pictures'],['United States of America'],1942-10-14,0.0,85.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,The Tougher They Are - The Harder They Fall,The Glass Key,6.2,1942,0.0,miércoles
,0.0,"[{'id': 35, 'name': 'Comedy'}]",16561,en,"Lewis and Clark, aka The Sunshine Boys, were famous comedians during the vaudeville era, but off-stage they couldn't stand each other and haven't spoken in over 20 years of retirement. Willy Clark's nephew is the producer of a TV variety show that wants to feature the reunion this classic duo. It is up to him to try to get the Sunshine Boys back together again for the show.",2.055346,['Metro-Goldwyn-Mayer (MGM)'],['United States of America'],1975-11-06,0.0,111.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,"For the price of a movie, you'll feel like a million!",The Sunshine Boys,6.8,1975,0.0,jueves
,0.0,"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]",26789,en,An unconventional undercover Chicago cop and his partner are recruited to commit the murder of a New Orleans criminal kingpin.,11.273675,['TriStar Pictures'],['United States of America'],1986-12-19,12303904.0,106.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,"When passion and hatred know no limits, expect no mercy.",No Mercy,5.7,1986,inf,viernes
,38000000.0,"[{'id': 28, 'name': 'Action'}]",13455,en,"After his father, an assassin, is brutally murdered, Nick Gant vows revenge on Division, the covert government agency that dabbles in psychic warfare and experimental drugs. Hiding in Hong Kong's underworld, Nick assembles a band of rogue psychics dedicated to destroying Division. Together with Cassie, a teenage clairvoyant, Nick goes in search of a missing girl and a stolen suitcase that could be the key to accomplishing their mutual goal.",11.596222,"['Icon Productions', 'Infinity Features Entertainment', 'Summit Entertainment']","['United States of America', 'Canada']",2009-02-06,45465299.0,111.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,One push can change everything.,Push,5.9,2009,1.1964552368421053,viernes
,1000000.0,"[{'id': 18, 'name': 'Drama'}]",15058,en,"Freshman high-school student Melinda has refused to speak ever since she called the cops on a popular summer party. With her old friends snubbing her for being a rat, and her parents too busy to notice her troubles, she folds into herself, trying to hide her secret: that star senior Andy raped her at the party. But Melinda does manage to find solace in her art class headed by Mr. Freeman.",6.66323,['Showtime Networks'],['United States of America'],2004-01-20,0.0,89.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,The Truth Will Change Everything.,Speak,6.7,2004,0.0,martes
,0.0,"[{'id': 18, 'name': 'Drama'}]",1418,es,"One winter night, Pilar runs away from home. With her, she takes only a few belongings and her son, Juan. Antonio soon sets out to look for her. He says Pilar is his sunshine, and what's more, ""She gave him her eyes""...",5.557675,"['Alta Producción', 'Producciones La Iguana S.L.']",['Spain'],2003-10-08,0.0,109.0,"[{'iso_639_1': 'es', 'name': 'Español'}]",Released,Where it reads 'home' read 'hell'. Where it reads 'love' there is pain,Take My Eyes,6.9,2003,0.0,miércoles
,0.0,"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}]",50560,en,"Double agent Picasso Trigger is assassinated in Paris by double-crossing bad guy Miguel Ortiz. Then Ortiz begins eliminating agents of The Agency who were involved in his brother's death. The Agency (belatedly) springs into action to stop Ortiz' heinous activities. The usual gunplay, romance, and nifty toys with bombs ensue.",0.629329,['Andy Sidaris Company'],['United States of America'],1988-02-01,0.0,99.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,They take their art seriously. They kill.,Picasso Trigger,4.1,1988,0.0,lunes
,0.0,"[{'id': 18, 'name': 'Drama'}]",87017,es,"Leo, a young man coming to terms with his own sexuality, runs into Caro, a primary school friend he fancied when they were kids, who's now trying to ward off her own personal demons. This casual re-encounter will affect their personal conflicts without either truly grasping the other's problem.",0.57483,"['Lavorágine Films', 'Coproducción Uruguay-Argentina']","['Argentina', 'Uruguay']",2010-01-20,0.0,95.0,"[{'iso_639_1': 'es', 'name': 'Español'}]",Released,Open the door,Leo's Room,7.3,2010,0.0,miércoles
['Alone in the Dark Collection'],4600000.0,"[{'id': 28, 'name': 'Action'}, {'id': 14, 'name': 'Fantasy'}, {'id': 27, 'name': 'Horror'}]",12683,en,"When the night falls, and the creatures of the dark are crawling out of the shadows, there is only one man who stands between us and evil: Edward Carnby.",8.238787,['HJB Filmproduktion'],['United States of America'],2008-09-01,0.0,88.0,"[{'iso_639_1': 'cs', 'name': 'Český'}, {'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'pt', 'name': 'Português'}]",Released,Evil Returns,Alone in the Dark 2,3.1,2008,0.0,lunes
,0.0,"[{'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}]",47951,ja,"The story of two animals and their adventures. Milo, the cat, and Otis, the dog, are two animals who grew up together on the same farm. One day, the two are separated and begin a journey to find each other. The adventurous, and often perilous quest finds the two animals traveling across mountains, plains, and snow-covered lands searching for one another.",2.500605,['Fuji Television Network'],['Japan'],1986-06-27,0.0,90.0,"[{'iso_639_1': 'ja', 'name': '日本語'}]",Released,Milo is one lucky cat. He's got nine lives and a best friend.,The Adventures of Milo and Otis,6.7,1986,0.0,viernes
,0.0,"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]",48407,en,A married bookstore owner is blackmailed after he makes a pass at his new sexy blonde clerk.,0.441423,"['Hammer Film Productions', 'Lippert Films']",['United Kingdom'],1952-01-25,0.0,84.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Poison never came in a prettier package!,The Last Page,6.6,1952,0.0,viernes
['Bring It On Collection'],0.0,"[{'id': 35, 'name': 'Comedy'}]",12540,en,"When new students can't get onto their college cheerleading team, they form their own squad and prepare for a cheer off.",0.380586,['Universal Pictures'],['United States of America'],2004-01-13,0.0,90.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,May the best moves win again.,Bring It On Again,5.3,2004,0.0,martes
,7000000.0,"[{'id': 18, 'name': 'Drama'}]",12400,en,"Is there room for principle in Los Angeles? Mike Terry teaches jujitsu and barely makes ends meet. His Brazilian wife, whose family promotes fights, wants to see Mike in the ring making money, but to him competition is degrading. A woman sideswipes Mike's car and then, after an odd sequence of events, shoots out the studio's window. Later that evening, Mike rescues an action movie star in a fistfight at a bar. In return, the actor befriends Mike, gives him a gift, offers him work on his newest film, and introduces Mike's wife to his own - the women initiate business dealings. Then, things go sour all at once, Mike's debts mount, and going into the ring may be his only option.",5.130795,['Sony Pictures Classics'],['United States of America'],2008-04-07,0.0,99.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,There's always a way out. You just have to find it.,Redbelt,6.4,2008,0.0,lunes
,40000000.0,"[{'id': 14, 'name': 'Fantasy'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}, {'id': 10749, 'name': 'Romance'}]",1491,en,"With his eye on a lovely aristocrat, a gifted illusionist named Eisenheim uses his powers to win her away from her betrothed, a crowned prince. But Eisenheim's scheme creates tumult within the monarchy and ignites the suspicion of a dogged inspector.",11.494009,"['Michael London Productions', 'Stillking Films', 'Bob Yari Productions', 'Contagious Entertainment']","['Czech Republic', 'United States of America']",2006-08-18,86915017.0,110.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Nothing Is What It Seems.,The Illusionist,7.1,2006,2.172875425,viernes
,0.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 27, 'name': 'Horror'}]",187010,en,A hunting vacation goes horribly awry for 4 friends after they accidentally shoot the lease's land owner.,1.174764,[],['United States of America'],2013-04-01,0.0,90.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,"Three friends, one cousin, and a hunting vacation to die for.",Buck Wild,4.3,2013,0.0,lunes
,0.0,"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]",120605,en,"Frank Castle is staying in a bad neighborhood, where he encounters a gang that terrorizes its residents.",11.309444,['1984 Private Defense Contractors'],['United States of America'],2012-07-16,0.0,10.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,What's the difference between justice and punishment?,The Punisher: Dirty Laundry,7.3,2012,0.0,lunes
,175000000.0,"[{'id': 16, 'name': 'Animation'}, {'id': 10751, 'name': 'Family'}, {'id': 12, 'name': 'Adventure'}, {'id': 878, 'name': 'Science Fiction'}]",15512,en,"When Susan Murphy is unwittingly clobbered by a meteor full of outer space gunk on her wedding day, she mysteriously grows to 49-feet-11-inches. The military jumps into action and captures Susan, secreting her away to a covert government compound. She is renamed Ginormica and placed in confinement with a ragtag group of Monsters...",14.243634,['DreamWorks Animation'],['United States of America'],2009-03-19,381509870.0,94.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,"When aliens attack, monsters fight back.",Monsters vs Aliens,6.0,2009,2.1800564,jueves
,950000.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",285176,no,"Out of Nature is a journey inside Martins head. A family father in his 30s living in a small town of Norway. He feels alienated in his own life and longs to get away. Away from his job, away from his family, into the woods, up to the mountains. While spending a weekend alone on a hiking trip, he is forced to confront the way he lives his life. Out of Nature is an original, funny and tender film about how to take part in your own life as a husband, father and son.",2.335565,['Mer Film'],['Norway'],2014-09-19,0.0,80.0,"[{'iso_639_1': 'no', 'name': 'Norsk'}]",Released,Who are you when no one is watching?,Out of Nature,7.1,2014,0.0,viernes
,16500000.0,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",2977,en,A biographical portrait of a pre-fame Jane Austen and her romance with a young Irishman.,7.829737,"['Ecosse Films', '2 Entertain', 'Bueprint Pictures']","['United Kingdom', 'United States of America']",2007-03-02,37311672.0,120.0,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'tr', 'name': 'Türkçe'}]",Released,Her own life is her greatest inspiration.,Becoming Jane,6.9,2007,2.2613134545454545,viernes
['The Worricker Collection'],0.0,"[{'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}, {'id': 18, 'name': 'Drama'}]",73358,en,"Page Eight is lovingly turned, with elegant writing, a flawless cast and a heartfelt message from writer/director David Hare about the danger zone where spies and politicians meet.  The tension builds gently as we follow the fortunes of Johnny Worricker, a jazz-loving charmer who works high up at MI5 as an intelligence analyst. It’s a part made for Bill Nighy and he purrs out bon mots with a weary panache that women 20 years younger find irresistible. One such is his neighbour, Nancy Pierpan (Rachel Weisz), in a Battersea mansion block. The question for Johnny is whether her interest in him is genuine or hides something darker.  As his boss (Michael Gambon) puts it: “Distrust is a terrible habit.” Questions of trust, honour and friendship rumble through the play. The characters exchange oblique repartee as a plot about a damning dossier unwinds. It’s not to be missed.",5.38902,"['Heyday Films', 'British Broadcasting Corporation (BBC)', 'Carnival Films & Television', 'Masterpiece', 'Runaway Fridge TV']",['United Kingdom'],2011-08-28,0.0,99.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,New Century. New Rules.,Page Eight,6.8,2011,0.0,domingo
